SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Condo/Co-op,5360 N Lowell Ave #502,Chicago,IL,60630,365000,2,2.0,Rivers Edge,1339,,1996,1,273,500,Active,July-19-2025 11:00 AM,July-19-2025 01:00 PM,https://www.redfin.com/IL/Chicago/5360-N-Lowell-Ave-60630/unit-502/home/12796131,MRED as Distributed by MLS Grid,12421887,N,Y,41.9787776,-87.7375413
MLS Listing,,Condo/Co-op,2338 W Granville Ave #2,Chicago,IL,60659,199000,2,1.0,CHI - West Ridge,900,,1929,1,221,329,Active,,,https://www.redfin.com/IL/Chicago/2338-W-Granville-Ave-60659/unit-2/home/12597040,MRED as Distributed by MLS Grid,12419635,N,Y,41.994244,-87.688942
MLS Listing,,Condo/Co-op,2423 W Augusta Blvd #1,Chicago,IL,60622,309900,2,2.0,CHI - West Town,,,2012,5,,252,Active,,,https://www.redfin.com/IL/Chicago/2423-W-Augusta-Blvd-60622/unit-1/home/64226790,MRED as Distributed by MLS Grid,12416378,N,Y,41.8991753,-87.6878953
MLS Listing,,Condo/Co-op,9737 N Fox Glen Dr Unit 5C,Niles,IL,60714,247000,2,2.0,Terrace Square,1200,,1983,5,206,487,Active,,,https://www.redfin.com/IL/Niles/9737-N-Fox-Glen-Dr-60714/unit-5C/home/13679923,MRED as Distributed by MLS Grid,12417263,N,Y,42.0574176,-87.8529387
MLS Listing,,Condo/Co-op,9445 W Kelvin Ln #2992,Schiller Park,IL,60176,179000,2,1.0,Schiller Park,750,,1983,6,239,288,Active,,,https://www.redfin.com/IL/Schiller-Park/9445-Kelvin-Ln-60176/unit-2992/home/28524291,MRED as Distributed by MLS Grid,12415534,N,Y,41.966555,-87.8641297
MLS Listing,,Condo/Co-op,2638 W Rice St Unit 2S,Chicago,IL,60622,374900,2,1.0,CHI - West Town,,,1921,7,,327,Active,,,https://www.redfin.com/IL/Chicago/2638-W-Rice-St-60622/unit-2S/home/18932085,MRED as Distributed by MLS Grid,12404289,N,Y,41.8968267,-87.693348
MLS Listing,,Condo/Co-op,5525 N Chester Ave #46,Chicago,IL,60656,265000,2,2.0,CHI - O'Hare,1200,,1980,8,221,362,Active,,,https://www.redfin.com/IL/Chicago/5525-N-Chester-Ave-60656/unit-46/home/12719146,MRED as Distributed by MLS Grid,12395019,N,Y,41.980031,-87.838751
MLS Listing,,Single Family Residential,2142 N Mobile Ave,Chicago,IL,60639,249900,2,1.0,CHI - Belmont Cragin,1440,3920,1923,13,174,,Active,,,https://www.redfin.com/IL/Chicago/2142-N-Mobile-Ave-60639/home/13428963,MRED as Distributed by MLS Grid,12410395,N,Y,41.9195396,-87.7831355
MLS Listing,,Single Family Residential,3413 S 56th Ct,Cicero,IL,60804,325000,2,1.5,Cicero,958,,1946,19,339,,Active,,,https://www.redfin.com/IL/Cicero/3413-S-56th-Ct-60804/home/14132495,MRED as Distributed by MLS Grid,12401473,N,Y,41.8303137,-87.7643502
MLS Listing,,Condo/Co-op,1639 W Farwell Ave #1,Chicago,IL,60626,325000,2,2.0,CHI - Rogers Park,1350,,1925,26,241,317,Active,,,https://www.redfin.com/IL/Chicago/1639-W-Farwell-Ave-60626/unit-1/home/26802698,MRED as Distributed by MLS Grid,12390765,N,Y,42.006091,-87.671657
MLS Listing,,Condo/Co-op,3117 N Paulina St Unit G,Chicago,IL,60657,299000,2,1.0,CHI - Lake View,,,,35,,300,Active,,,https://www.redfin.com/IL/Chicago/3117-N-Paulina-St-60657/unit-G/home/12651847,MRED as Distributed by MLS Grid,12390478,N,Y,41.9383756,-87.6708198
MLS Listing,,Condo/Co-op,9346 Landings Ln #506,Des Plaines,IL,60016,244900,2,2.0,Des Plaines,1400,,1981,37,175,495,Active,,,https://www.redfin.com/IL/Des-Plaines/9346-Landings-Ln-60016/unit-506/home/13667440,MRED as Distributed by MLS Grid,12386771,N,Y,42.0408755,-87.8578658
MLS Listing,,Condo/Co-op,1S150 Spring Rd Unit 5F,Oakbrook Terrace,IL,60181,299900,2,2.0,Oak Brook Terrace,1206,,1981,40,249,421,Active,,,https://www.redfin.com/IL/Oakbrook-Terrace/1S150-Spring-Rd-60181/unit-5F/home/18088249,MRED as Distributed by MLS Grid,12380004,N,Y,41.8584754,-87.9502133
MLS Listing,,Single Family Residential,2655 W 24th Pl,Chicago,IL,60608,275000,2,2.0,CHI - South Lawndale,1650,1136,1899,134,167,,Active,,,https://www.redfin.com/IL/Chicago/2655-W-24th-Pl-60608/home/12555477,MRED as Distributed by MLS Grid,12302280,N,Y,41.8475282,-87.692496
Redfin Data,,Condo/Co-op,8999 Kennedy Dr Unit 102B,Des Plaines,IL,60016,234900,2,1.0,Des Plaines,1100,,1970,1,214,294,Pre On-Market,,,https://www.redfin.com/IL/Des-Plaines/8999-Kennedy-Dr-60016/unit-102B/home/13669012,Coming Soon,108254,N,Y,42.0429234,-87.854874
Redfin Data,,Condo/Co-op,4322 S Forrestville Ave #3,Chicago,IL,60653,264900,2,2.0,Chicago,1250,,,2,212,375,Pre On-Market,,,https://www.redfin.com/IL/Chicago/4322-S-Forrestville-Ave-60653/unit-3/home/18927465,Coming Soon,108219,N,Y,41.8159667,-87.6131352
Redfin Data,,Condo/Co-op,960 W Cuyler Ave Unit 1S,Chicago,IL,60613,330000,2,1.0,Chicago,960,,1907,5,344,321,Pre On-Market,,,https://www.redfin.com/IL/Chicago/960-W-Cuyler-Ave-60613/unit-1S/home/12701000,Coming Soon,108201,N,Y,41.9558031,-87.6534564
Redfin Data,,Townhouse,156 Morgan's Gate Dr Unit 17-2,Wood Dale,IL,60191,335000,2,2.5,Wood Dale,1721,,2007,8,195,298,Pre On-Market,,,https://www.redfin.com/IL/Wood-Dale/156-Morgan-s-Gate-Dr-60191/unit-17-2/home/171983565,Coming Soon,108083,N,Y,41.9588098,-87.9600651
MLS Listing,,Condo/Co-op,1540 W Chase Ave Unit 3E,Chicago,IL,60626,225000,2,2.0,CHI - Rogers Park,,,1969,1,,280,Active,,,https://www.redfin.com/IL/Chicago/1540-W-Chase-Ave-60626/unit-3E/home/12555812,MRED as Distributed by MLS Grid,12422325,N,N,42.0141499,-87.6696545
MLS Listing,,Condo/Co-op,1044 Ontario St Unit 2E,Oak Park,IL,60302,189000,2,1.0,Oak Park,900,,1960,1,210,348,Active,,,https://www.redfin.com/IL/Oak-Park/1044-Ontario-St-60302/unit-2E/home/13271185,MRED as Distributed by MLS Grid,12407674,N,Y,41.8909329,-87.802182
MLS Listing,,Condo/Co-op,873 N Larrabee St #610,Chicago,IL,60610,390000,2,2.0,,1100,,2006,1,355,487,Active,,,https://www.redfin.com/IL/Chicago/Undisclosed-address-60610/home/18915967,MRED as Distributed by MLS Grid,12422112,N,Y,41.898639,-87.642694
MLS Listing,,Condo/Co-op,1103 W Wrightwood Ave #1,Chicago,IL,60614,360000,2,1.0,CHI - Lincoln Park,,,1918,1,,467,Active,July-19-2025 12:30 PM,July-19-2025 02:00 PM,https://www.redfin.com/IL/Chicago/1103-W-Wrightwood-Ave-60614/unit-1/home/39915065,MRED as Distributed by MLS Grid,12422238,N,Y,41.928689,-87.6563819
MLS Listing,,Condo/Co-op,4869 N Kenmore Ave Unit GN,Chicago,IL,60640,299900,2,2.0,CHI - Uptown,1100,,1928,1,273,286,Active,,,https://www.redfin.com/IL/Chicago/4869-N-Kenmore-Ave-60640/unit-GN/home/196450655,MRED as Distributed by MLS Grid,12419566,N,Y,41.9710619,-87.6558511
MLS Listing,,Condo/Co-op,2217 W Farwell Ave Unit 3B,Chicago,IL,60645,319000,2,2.0,CHI - West Ridge,1500,,,1,213,274,Active,,,https://www.redfin.com/IL/Chicago/2217-W-Farwell-Ave-60645/unit-3B/home/196450171,MRED as Distributed by MLS Grid,12422124,N,Y,42.0060127,-87.6866015
MLS Listing,,Condo/Co-op,620 S York Rd #101,Bensenville,IL,60106,209900,2,2.0,Bensenville,1200,,1977,1,175,315,Active,,,https://www.redfin.com/IL/Bensenville/620-S-York-Rd-60106/unit-101/home/18161560,MRED as Distributed by MLS Grid,12421885,N,Y,41.9425485,-87.9401915
MLS Listing,,Condo/Co-op,9436 Kelvin Ln #3234,Schiller Park,IL,60176,169900,2,1.0,Kristina Condos,900,,,1,189,262,Active,,,https://www.redfin.com/IL/Schiller-Park/9436-Kelvin-Ln-60176/unit-3234/home/12571722,MRED as Distributed by MLS Grid,12420209,N,Y,41.966703,-87.8641645
MLS Listing,,Condo/Co-op,6551 N Harlem Ave Unit 2S,Chicago,IL,60631,195000,2,1.0,CHI - Norwood Park,986,,1972,1,198,334,Active,,,https://www.redfin.com/IL/Chicago/6551-N-Harlem-Ave-60631/unit-2S/home/12796576,MRED as Distributed by MLS Grid,12416148,N,Y,42.0002249,-87.8060821
MLS Listing,,Townhouse,206 Country Ln,Des Plaines,IL,60016,349000,2,1.5,Des Plaines,1228,,1989,1,284,283,Active,July-20-2025 01:00 PM,July-20-2025 03:00 PM,https://www.redfin.com/IL/Des-Plaines/206-Country-Ln-60016/home/13680732,MRED as Distributed by MLS Grid,12421593,N,Y,42.0646721,-87.8687687
MLS Listing,,Townhouse,9024 Skokie Blvd Unit C,Skokie,IL,60077,279999,2,1.5,Skokie,1100,,1958,1,255,,Active,July-19-2025 01:00 PM,July-19-2025 03:00 PM,https://www.redfin.com/IL/Skokie/9024-Skokie-Blvd-60077/unit-C/home/13620184,MRED as Distributed by MLS Grid,12421307,N,Y,42.0451426,-87.7473745
MLS Listing,,Single Family Residential,3740 S 58 Ave,Cicero,IL,60804,265000,2,1.5,Cicero,960,4625,1951,1,276,,Active,,,https://www.redfin.com/IL/Cicero/3740-S-58th-Ave-60804/home/14131037,MRED as Distributed by MLS Grid,12420161,N,Y,41.8237977,-87.7682755
